Beat Count,Instrument 1,Instrument 2,Section,
1,,,Intro 1,1
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
2,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
3,,,Intro 1,2
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
4,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
5,,,Intro 1,3
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
6,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
7,,,Intro 1,4
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
8,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
9,,,Intro 1,5
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
10,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
11,,,Intro 1,6
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
12,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
13,,,Intro 1,7
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
14,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
15,,,Intro 1,8
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
16,,,Intro 1,
e,,,Intro 1,
&,,,Intro 1,
a,,,Intro 1,
17,Crash Cymbal,Bass Drum,,9
e,,,,
&,,,,
a,,,,
18,,,,
e,,,,
&,Ride Cymbal,Hi-Hat (Open),,
a,Ride Cymbal,Hi-Hat (Open),,
19,Ride Cymbal,Hi-Hat (Open),,10
e,,,,
&,,,,
a,,,,
20,,,,
e,,,,
&,,,,
a,,,,
21,Crash Cymbal,Bass Drum,,11
e,,,,
&,,,,
a,,,,
22,,,,
e,,,,
&,Ride Cymbal,Hi-Hat (Open),,
a,Ride Cymbal,Hi-Hat (Open),,
23,Ride Cymbal,Hi-Hat (Open),,12
e,,,,
&,,,,
a,,,,
24,,,,
e,,,,
&,,,,
a,,,,
25,Crash Cymbal,Bass Drum,,13
e,,,,
&,,,,
a,,,,
26,,,,
e,,,,
&,Ride Cymbal,Hi-Hat (Open),,
a,Ride Cymbal,Hi-Hat (Open),,
27,Ride Cymbal,Hi-Hat (Open),,14
e,,,,
&,,,,
a,,,,
28,,,,
e,,,,
&,,,,
a,,,,
29,,,,15
e,,,,
&,,,,
a,,,,
30,,,,
e,,,,
&,,,,
a,,,,
31,,,,16
e,,,,
&,,,,
a,,,,
32,,,,
e,,,,
&,,,,
a,,,,
33,,,,17
e,,,,
&,,,,
a,,,,
34,Bass Drum,Tom-tom,,
e,,,,
&,,,,
a,,,,
35,,,,18
e,,,,
&,,,,
a,,,,
36,,,,
e,,,,
&,,,,
a,,,,
37,,,,19
e,,,,
&,Hi-Hat (Open),,,
a,Hi-Hat (Open),,,
38,Hi-Hat (Open),,,
e,,,,
&,,,,
a,,,,
39,,,,20
e,,,,
&,,,,
a,,,,
40,,,,
e,,,,
&,,,,
a,,,,
41,Bass Drum,Crash Cymbal,,21
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
42,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
43,Tom-tom,Snare Drum,,22
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
44,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
45,Tom-tom,Snare Drum,,23
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
46,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
47,Tom-tom,Snare Drum,,24
e,,,,
&,Bass Drum,,,
a,,,,
48,Tom-tom,Snare Drum,,
e,,,,
&,,,,
a,,,,
49,Bass Drum,Tom-tom,,25
e,,,,
&,Hi-Hat (Open),,,
a,,,,
50,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
51,Bass Drum,Hi-Hat (Open),,26
e,,,,
&,Hi-Hat (Open),,,
a,,,,
52,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
53,Bass Drum,Hi-Hat (Open),,27
e,,,,
&,Hi-Hat (Open),,,
a,,,,
54,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
55,Bass Drum,Hi-Hat (Open),,28
