Count,Instrument 1,Instrument 2,Section,,,,,
,,,Intro 1,,,,,
,,,Intro 1,,,,,
1,,,Intro 1,1,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
2,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
3,,,Intro 1, ,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
4,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
5,,,Intro 1,2,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
6,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
7,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
8,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
9,,,Intro 1,3,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
10,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
11,,,Intro 1, ,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
12,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
13,,,Intro 1,4,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
14,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
15,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
16,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
17,,,Intro 1,5,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
18,,,Intro 1,,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
19,,,Intro 1, ,,,,
e,,,Intro 1,,,,,
&,,,Intro 1,,,,,
a,,,Intro 1,,,,,
20,,,Intro 1,,,,,
